Date,Open,High,Low,Close,Adj Close,Volume
2023/1/31,384.68,419.62,377.83,410.75,404.56,1792562300
2023/2/28,413.98,431.53,406.98,430.21,423.67,1512345600
2023/3/31,431.53,454.52,421.73,454.52,447.38,1487654300
2023/4/30,454.11,462.19,440.55,457.23,449.98,1234567800
2023/5/31,457.32,470.11,445.22,466.12,458.65,1321654700
2023/6/30,466.23,478.99,452.11,475.31,467.62,1187635400
2023/7/31,475.42,489.22,468.33,485.66,477.71,1098765400
2023/8/31,485.77,493.11,472.55,482.88,474.99,1154326700
2023/9/30,482.99,497.88,470.12,472.31,464.62,1243567800
2023/10/31,472.42,482.22,451.23,481.2,473.38,1387645300
2023/11/30,481.31,498.77,475.33,496.4,488.22,1176543200
2023/12/31,496.51,510.22,487.11,502.88,494.51,1065432100
2024/1/31,502.99,520.33,495.22,518.22,509.55,1298765400
2024/2/29,518.33,535.11,508.08,532.11,523.12,1143256700
2024/3/28,532.22,548.99,523.07,543.66,534.42,1087654300
2024/4/30,543.77,557.22,531.33,551.98,542.51,1132456700
2024/5/31,552.09,568.33,544.22,563.37,553.62,1276543200
2024/6/28,563.48,578.11,550.81,572.22,562.23,1165432100
2024/7/31,572.33,589.22,563.68,583.76,573.51,1098765400
2024/8/30,583.87,598.11,573.76,592.68,582.12,1143256700
2024/9/30,592.79,605.33,568.64,586.08,575.66,1287654300
2024/10/31,586.19,610.22,568.64,602.55,591.72,1176543200
2024/11/29,602.66,620.11,586.08,618.22,607.11,1065432100
2024/12/31,618.33,635.44,602.55,631.92,620.55,1298765400
2025/1/31,632.03,650.22,618.22,641.82,630.12,1143256700
2025/2/28,641.93,660.33,631.92,654.18,642.23,1087654300
2025/3/31,654.29,675.11,641.82,669.39,657.11,1132456700
2025/4/30,669.5,682.22,654.18,674.54,662.12,1276543200
2025/5/30,674.65,690.33,669.39,689.39,676.72,1165432100
2025/6/30,689.5,705.11,674.54,702.85,689.88,1098765400
2025/7/31,702.96,718.22,689.39,712.08,698.92,1143256700
2025/8/29,712.19,725.33,702.85,715.05,701.77,1287654300
2025/9/30,715.16,730.22,712.08,726.18,712.55,1176543200
2025/10/31,726.29,740.11,715.05,732.06,718.22,1065432100
2025/11/28,732.17,748.33,726.18,733.39,719.51,1298765400
2025/12/31,733.5,750.22,732.06,731.92,718.06,1143256700
2026/1/30,732.03,745.11,721.22,721.97,708.22,1087654300
2026/2/27,722.08,738.22,705.33,715.99,702.33,1132456700
2026/3/31,716.1,728.33,695.11,700.34,686.77,1276543200
2026/4/22,700.45,711.45,698.22,711.21,697.45,1165432100
